t,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th,x,y,th
6180,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
6240,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
6300,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
6360,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
6420,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
6480,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
6540,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
6600,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
6660,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
6720,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
6780,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
6840,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
6900,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
6960,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
7020,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
7080,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
7140,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
7200,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
7260,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
7320,4,-8,0,3,-8,0,2,-8,0,1,-8,0,0,-8,0,-15,-14,0,-15,-13,0,-15,-12,0,-15,-11,0,-15,-10,0,-14,-14,0,4,15,0,5,15,0,6,15,0,7,15,0
