t,robot_0,robot_1,robot_2,robot_3,robot_4,robot_5,robot_6,robot_7,robot_8,robot_9,robot_10,robot_11,robot_12,robot_13,robot_14
3960,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
4020,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
4080,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
4140,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
4200,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
4260,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
4320,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
4380,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
4440,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
4500,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_1_1,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_2_0,WS_0_0,WS_0_0,WS_0_0,WS_0_0
